qualifierId;Englez?;DESCRIPTION;ASSOCIATED EVENT typeId VALUES;Qualifier Category;Name
261;1 on 1 chip;"Note - October 2019: No longer collected as of June 2017
                    The goal was a 'one-on-one' chip, where the scorer chipped the ball over the goalkeeper and into the net";16;N/A;Lob 1 la 1
262;Back heel;"Note - October 2019: No longer collected as of June 2017
                    The goal was scored with a back heel";16;N/A;C?lcâi
263;Direct corner;A shot or goal directly from a corner;15, 16;Goal Details;Corner direct
264;Aerial Foul;A foul was committed aerially (in or via the air);4;Infraction Type;Fault aerian
265;Attempted Tackle;A foul was committed via an attempted tackle;4;Infraction Type;Tackling încercat
266;Put Through;"Note - October 2019: No longer used (collected only for DFL between 2013/14 and 2016/17)
                    Attacking player has passed/shot the ball past a defending player who attempted to stop the ball. A 'Put Through' is always linked to a 'Failed to block' event on the defending team's side. This qualifier is assigned to the defending player who should have denied the shot.";1, 13, 14, 15, 16;N/A;Printre
267;Right Arm;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    The goalkeeper uses their right arm to make the save";10;N/A;Bra?ul drept
268;Left Arm;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    Goalkeeper uses their left arm to make the save";10;N/A;Bra?ul stâng
269;Both Arms;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    Goalkeeper uses both of their arms to make the save";10;N/A;Ambele bra?e
270;Right Leg;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    Goalkeeper uses their right leg to make the save";10;N/A;Piciorul drept
271;Left Leg;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    Goalkeeper uses their left leg to make the save";10;N/A;Piciorul stâng
271;Both Legs;"Note - October 2019: No longer used (collected in 2013/14 season only)
                    Goalkeeper uses both of their legs to make the save";10;N/A;Ambele picioare
273;Hit Right Post;The shot hit the right post following a save;10, 13, 15, 16;Shot Details;Love?te stâlpul drept
274;Hit Left Post;The shot hit the left post following a save;10, 13, 15, 16;Shot Details;Love?te stâlpul stâng
275;Hit Bar;The shot hit the crossbar following a save;10, 13, 15, 16;Shot Details;Love?te bara
276;Out on sideline;The shot missed/was off-target and went out on the sideline for a throw in. Note: In this context the accompanying 'Blocked' Qualifier IDs (147, 153) indicate where the ball goes out on the touchline.;13;Shot Details;Afar? pe margine
278;Tap;The ball was tapped to a teammate (for example, from kick-off or a free kick);1;Pass Details;Atingere
284;Duel;"Note - October 2019: No longer used (collected for DFL competitions only between 2013/14 and 2016/17 seasons)
                    Indicates the blocked shot/cross is a duel";10, 12, 15;N/A;Duel
285;Defensive;Indicates a defensive dual;3, 4, 7, 10, 12, 44, 45, 50, 67, 69, 74;Duel Type;Defensive
286;Offensive;Indicates an offensive duel;1, 3, 4, 7, 13, 14, 15, 16, 44, 45, 50, 67;Duel Type;Ofensiv?
287;Over-arm;Indicates an over-arm throw out of the ball by the goalkeeper;1;Pass Details;Peste bra?
288;Out of Play Secs;"Note - October 2019: This qualifier is associated with event typeId 66 which is no longer recorded in the feed. We will update this record shortly to confirm if this qualifierId could appear in the output.
                    Amount of time the ball was out of play in the last 5 minutes";66;N/A;Afar? din joc secunde
289;Denied goal-scoring opp;The foul committed by a player denies a goal-scoring opportunity;4;Infraction Type;Ocazie de gol anulat?
291;Other Ball Contact Type;"Note - October 2019: No longer used (collected in 2013/14 season)
                    This is an automated extra event for DFL. It comes with a tackle or an interception and indicates if the player who made the tackle/interception retained the ball after this action or if the tackle/interception was a single ball touch (other ball contact with event type 'Interception' (8), type 'Defensive Clearance', or type 'Tackle Retained Ball').";61, 73;N/A;Alt tip de contact cu mingea
294;Shove/Push;The foul is given for a shove/push;4;Infraction Type;Împingere/împingere
295;Shirt Pull/Holding;The foul is given given for shirt pulling/holding;4;Infraction Type;Tragere de tricou/?inere
296;Elbow/Violent Conduct;The foul is given for elbowing or violent conduct;4;Infraction Type;Cot/Conduit? violent?
297;Follows Shot Rebound;An offside pass that follows a rebounded shot - the player who followed-up after a rebound to make a pass is ruled offside;2;Infraction Type;Urmeaz? o deviere
298;Follows Shot Blocked;An offside pass that follows a blocked shot - the player who followed-up after the blocked shot to make a pass is ruled offside;2;Infraction Type;Urmeaz? o minge blocat?
299;Clock Affecting;Indicates that the delay has affected the match clock;27, 28;Delays;Afectarea ceasului
300;Solo Run;Shows that the goal came from a solo run made by the player;16;Goal Details;Curs? solo
301;Shot from cross;Shows that the attempt came from a shot that came from a cross (the attempt was saved);15;Shot Details;?ut din centrare
302;Checks complete/Live collection checks complete;Data/live data collection has ended and he initial post-match checks have been completed;37;Other Event Qualifier;Verific?ri complete/colectare live verific?ri complete
303;Floodlight failure;Shows that the delay is due to a floodlight failure;27;Delays;Defec?iune a nocturnei
304;Ball In Play;The player is off the pitch but the ball is in play;77;Other Event Qualifier;Mingea în joc
305;Ball Out of Play;The ball is out of play due to the player being off the pitch;77;Other Event Qualifier;Minge afar? din joc
306;Kit change;The player is off the pitch for a kit change;77;Other Event Qualifier;Schimbare de echipament
308;Goes to Extra Time;Indicates that the match will go to extra time and an additional period will be played;30;Other Event Qualifier;Se merge la prelungiri
309;Goes to Penalties;Indicates that the match will go to penalties and an additional period will be played;30;Other Event Qualifier;Se merge la penalty-uri
310;Player goes out;The player goes off/leaves the pitch;77;Player Delay;Juc?torul iese
311;Player comes back;The player comes back onto the pitch;77;Player Delay;Juc?torul revine
313;Illegal Restart;The foul is given for an illegal restart of play;4;Infraction Type;Restart ilegal
314;End of Offside;The foul is given for a shot hitting an offside player;13, 15;Infraction Type;Sfâr?itul ofsaidului
316;Passed Penalty;The player chose to pass the ball to a teammate when taking a penalty instead of attempting a direct shot on goal;13, 14, 15, 16;Penalty Details;Penalty pasat
317;Penalty Set Piece;The shot or chance missed came from a situation where a penalty was taken and not directly shot at goal or scored;13, 14, 15, 16, 60;Penalty Details;Penalty Faz? Fix?
319;Captain change;Indicates that the team has changed their captain;40;Captain Change;Schimbare de c?pitan
323;Follows a Rebound;"Note - October 2019: This qualifier is no longer used
                    Shot follows another shot and is from the resulting rebound";13, 14, 15, 16;N/A;Urmeaz? o deviere
324;Follows a Take On;"Note - October 2019: This qualifier is no longer used
                    Shot follows a successful take-on";13, 14, 15, 16;N/A;Urmeaz? un dribling
325;Abandonment To Follow;Attached to 'End' event (typeId 30), this will flag when the game is about to be abandoned by Opta's collection system, rather than appearing as though the match has normally ended;30, 32, 34, 36, 40, 71;Other Event Qualifier;Urmeaz? s? fie abandonat
328;First Touch;The shot was attempted by the player first time/on their first touch, without another touch to control the ball;13, 14, 15, 16;Shot Details;Prima atingere
329;VAR - Goal Awarded;"The VAR has been asked to look at a goal that was awarded by the referee. Note: This was previously named ""VAR - Goal""";65;VAR;VAR - Gol acordat
330;VAR - Penalty Awarded;The VAR has been asked to look at a penalty decision that was awarded by the referee;65;VAR;VAR - Penalty acordat
331;VAR - Penalty Not Awarded;The VAR has been asked to look at a penalty decision that was originally not awarded by the referee;65;VAR;VAR - Penalty neacordat
332;VAR - (Red) Card Upgrade;"The VAR has been asked to look at an event where a red card was not originally awarded by the referee. Note: This was previously named ""VAR - Red Card""";65;VAR;VAR - Actualizarea cartona?ului (ro?u)
333;VAR - Mistaken Identity;The VAR has been asked to clarify a circumstance of mistaken identity;65;VAR;VAR - Identitate gre?it?
334;VAR - Other;The VAR has been asked to look at another situation;65;VAR;VAR - Altele
335;Referee Decision Confirmed;The decision has been confirmed;65;VAR;Decizia arbitrului confirmat?
336;Referee Decision Cancelled;The decision has been cancelled;65;VAR;Decizie arbitru anulat?
338;Follows a Rebound Event ID;Reference to the previous shot this has followed;13, 14, 15, 16;Shot Details;Urmeaz? o deviere ID eveniment
341;VAR - Goal Not Awarded;The VAR has been asked to look at an event/shot that was not originally awarded as a goal by the referee (new - 16 April 2018);;VAR;VAR - Gol neacordat
342;VAR - Red Card Given;The VAR has been asked to look at an event where a red card was awarded by the referee (new - 16 April 2018);;VAR;VAR - Cartona? ro?u acordat
343;Review;"This ID is attached to the event that most closely relates to the situation being investigated by the VAR. It might be a shot, goal, foul, aerial, pass, take-on etc. and can be attached to almost any event type (released 16 April 2018)
                    Possible values: 1, 2, 3 (1 = under review, 2 = reviewed, 3 = event added post review)";;VAR;Revizuire
344;Video coverage lost;Indicates that the game/coverage and our analysis has been interrupted (outcome 0 = start of interruption, outcome 1 = end of interruption);79;Other Event Qualifier;Acoperire video pierdut?
345;Overhit cross;Indicates when a cross clearly went over the intended target area;1 (may appear only with qualifierId 2);Pass Details;Centrare lovit? prea tare
346;Next event Goal-Kick;Indicates that the next event in a game will be a goal-kick;5;N/A;Urm?torul eveniment Aut de poart?
347;Next event Throw-In;Indicates that the next event in a game will be a throw-in;5;N/A;Eveniment urm?tor Aruncare de la margine
349;Goalkeeper punch outcome;End xy coordinates for a Goalkeeper punch event. Qualifier IDs 140 (x) and 141 (y) indicate the end coordinates of the punch. It is included with a Goalkeeper punch event (typeId 41) and outcome 1 or 0.;41 (qualifierId 140, 141);GK Action Outcome;Rezultat minge boxat? de portar
353;Second (2nd) opposite related event ID;"This qualifier links a second opposite related event to an action, and provides more detail about an action during the game. For example, if a penalty is saved, instead of only linking the offensive 'Penalty Taken' event to the defensive 'Penalty Saved' action (event typeId 58) we can also link it to a 'Penalty Faced' action (event typeId 10).
                    Note: Applicable from 19 March 2019. Qualifier ID 233 is unchanged.";Various (see qualifierId 233, eg typeId 10, 15, 58);Related Event;Al doilea (al 2-lea) eveniment opus ID
354;Ball hits referee;Added to a drop ball if the cause of the event was due to the ball hitting the referee.;68;Other Event Qualifier;Mingea love?te arbitrul
355;Entering referee review area;Added to a card event (typeId 17) where a yellow card was issued for a person entering the referee review area - this caution relates to a VAR decision. A qualifierId of 31 (yellow card) will also be present.;17;Infraction Type;Intrarea în zona de control a arbitrului
356;Excessive usage of review signal;Added to a card event (typeId 17) where a yellow card was issued for a person excessively using the review signal - this caution relates to a VAR decision. A qualifierId of 31 (yellow card) will also be present.;17;Infraction Type;Utilizarea excesiv? a semnalului VAR
357;Entering video operations room;Added to a card event (typeId 17) where a red card was issued for a person entering the video operations room - this relates to a VAR decision. A qualifierId of 33 (red card) will also be present.;17;Infraction Type;Intrarea în camera VAR
358;Official body: Reviewed and confirmed;Added if a goal event (typeId 16) has been reviewed post-match by an official body, only where the goalscorer remains unchanged. It can also be added to assist events.;16, 1;Post-Match Confirmation;Oficial: Revizuit ?i confirmat
359;Official body: Reviewed and changed;Added if a goal event (typeId 16) has been reviewed post-match by an official body, only where the goalscorer is changed. It can also be added to assist events.;16, 1;Post-Match Confirmation;Oficial: Revizuit ?i schimbat
361;Incorrect out of play decision;Added when our analysts are very clear that the ball has gone out of play for either a goal kick or a corner, but the match official has given the opposite decision.;5, 6;Wrong Referee Decision;Decizie incorect? de aut
364;VAR Delay;Used with a 'Start delay' event (typeId 27);27;VAR;Întârziere VAR
365;Reviewed event ID;Used with a 'Contentious referee decision' event (typeId 65), which should also have a linked event ID number to the specific event that is under review;65;CRD;ID eveniment revizuit
374;Goal shot timestamp;"Specifies the actual time of the shot for all goal events - the events will continue to have the timestamp of the goal itself
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";16;Post-Match Confirmation;Timestamp lovitur? de gol
375;Goal shot game clock;"The match time of the shot for all goal events - the events will continue to have the match time of the goal itself
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";16;Post-Match Confirmation;Timpul de joc al loviturii de gol
376;Low GK intervention;"Denotes a low-level (height) intervention by the Goalkeeper - for example, the Goalkeeper touched the ball below hip height.
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";Various goalkeeper events, such as 10, 11, 41, 52;GK Control;Interven?ie GK jos
377;Medium GK intervention;"Denotes a medium-level (height) intervention by the Goalkeeper - for example, the Goalkeeper touched the ball below hip height
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";Various goalkeeper events, such as 10, 11, 41, 52;GK Control;Interven?ie GK medie
378;High GK intervention;"Denotes a high-level (height) intervention by the Goalkeeper - for example, the Goalkeeper touched the ball above shoulder height
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";Various goalkeeper events, such as 10, 11, 41, 5;GK Control;Interven?ie GK sus
380;Other obstacle;"The ball has hit the referee, corner flag or any other non-player object on the field
                    Note: New from 24 August 2020. Collection type: Live";81;Ball Control;Alt obstacol
381;Fumble;"A goalkeeper attempts to catch the ball when making a save but drops the ball in error
                    Note: New from 24 August 2020. Collection type: Live";10;GK Control;Minge sc?pat?
383;Touch type control;"A player made a touch on the ball - control type. The player's intention when making a tackle or interception: keep ball close in order to touch it again
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";7, 8, 10, 11;Ball Control;Atingere tip control
384;Touch type pass;"A player made a touch on the ball - a pass. The player's intention when making a tackle or interception: direct ball towards teammate
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";7, 8;Ball Control;Atingere tip pas?
385;Touch type clearance;"A player made a touch on the ball - a clearance. The player's intention when making a tackle or interception: direct ball away from intended receiver/area
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";7, 8;Ball Control;Atingere tip respingere
386;Driven cross;"Any cross which is struck hard and straight
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";1;Pass Details;Centrare ?utat?
387;Floated cross;"A straight cross that is in the air for a long period of time - a cross stood up to the back post
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post";1;Pass Details;Centrare înalt?
388;Jumping;"Added to all 'touch' events if applicable but only for some competitions, and only 'post-match'.
                    Note: New from June 2020. This is a 'post-match' qualifier which means it is only shown once the post-match analysis is complete.";61, 73;Body Movement;S?ritur?
389;Sliding;"Added to save events and temp saves (10 & 63) for all T12+ games. It can also be added 'Post-match' to all 'touch' events.
                    Note: New from June 2020. When added as a post-match qualifier it will be shown once the post-match analysis is complete.";7, 10, 11, 12, 13, 14, 15, 16, 63;Body Movement;Alunecare
390;Causing player;"The ID of the player who conceded the penalty
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. New from 24 August 2020. Collection type: Post";13, 14, 16;Penalty Provoked;Juc?torul care a provocat
391;Mis-hit;"An attempt where the offensive player hits the ball poorly which sends the ball in an unintended direction.
                    Note: New from 24 August 2020. Collection type: Live";13, 14, 15, 16;Shot Details;Lovit? gre?it
392;Reckless offence;"Card reasons updated to match with Official IFAB reasons - a player is shown a card for committing a foul in a reckless manner
                    Note: New from 24 August 2020. Collection type: Live";17;Infraction Type;Infrac?iune imprudent?
393;Tactical Foul;"Card reasons updated to match with Official IFAB reasons - a player is shown a card which interferes with or stops a promising attack, except where the referee awards a penalty kick for an offence which was an attempt to play the ball
                    Note: New from 24 August 2020. Collection type: Live";17;Infraction Type;Fault tactic
394;Corner not taken;"A corner was awarded but the referee blew the whistle before it could be taken
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. New from 24 August 2020. Collection type: Post";6;Other Event Qualifier;Corner neacordat
395;GK x coordinate time of goal;"The x-coordinate of the Goalkeeper position at the time of the goal/when the ball crosses the line
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. New from 24 August 2020. Collection type: Post";16;Save/Block Position X;Coordonate GK x momentul golului
396;GK y coordinate time of goal;"The y-coordinate of the Goalkeeper position at the time of the goal/when the ball crosses the line
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. New from 24 August 2020. Collection type: Post";16;Save/Block Position Y;Coordonate GK y momentul golului
397;Blocked clearance;Added on 'Clearance' events and 'Blocked Pass' events. It would have been previously collected as 'Ball touch' (61). Note: New from June 2020;12, 74;Offensive Action;Degajare blocat?
398;GK Challenge;Goalkeeper Challenge. Added on 'Foul' events, an exclusive option that is collected only for very rare exceptions. Note: New from June 2020;4;Infraction Type;Tackling portar
399;Intended tackle target;"Identifies which player was the intended target of an attempted tackle. Tier 14 and 15
                    Note: This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. New from 24 August 2020. Collection type: Post";83;N/A;?inta tacklingului încercat
406;Collection complete;"The post-match checks have been completed and the file is now safe to use. Please note these collected competitions are subject to different post match SLAs.
                    Note: This qualifier will only be visible if the match is re-analysed after the match has ended. New from 28 September 2020. Collection type: Post";37;Other Event Qualifier;Colectare complet?
436;Pre-Review Event Type;"We are adding a new Event type_id (84, Deleted After Review) in order that the Contentious Referee Decision can be linked to it for all VAR cases.
                    There will also be this new qualifier added, the value of which indicates the type_id of the Event before it was deleted after review. (Added March 2021)";84;Other Event Qualifier;Tip eveniment pre-revizuire
458;Not assisted;Instead of not adding any assist related qualifier we will be adding a “not assisted” qualifier to indicate that there was no assist to the attempt.;16;Goal Details;Neasistat
459;Event type review;Event type review is a qualifier which is used to identify a potential data points which may not have been coded live but may change after review.;1, 3, 8, 13, 14, 15, 61;Other Event Qualifier;Revizuirea tipului de eveniment
464;Take on space;Space refers to take-ons when the attacking is trying to dribble past an opponent player in attempt to move into an empty space behind them, but must be going sideways, or backwards in direction (not towards the opposition Goal).;;Duel Details;Dribling în zon?
465;Take on overtake;Overtake refers to take-ons attempted when the player is trying to progress up past them in the direction of the opposition team's Goal/Goal Line. The players dribble must in the direction of the opposition Goal, with an opposition player in front of them (in a 1 v 1 situation).;;Duel Details;Dribling în dep??ire
478;Officially announced;Source of delay information as an official announcement;75;Delays Info;Anun?at oficial
479;Estimated;Source of delay information as an estimation;75;Delays Info;Estimat
7;Players caught offside;The player was in an offside position when the pass was made. The value is the ID of the player caught offside.;2;Offside Player;Juc?tori prin?i în offside
30;Involved;A list of comma-separated Player IDs or Coach IDs in an array, indicating the player/coach position in the team/coach lineup/setup. For players, it will show all players in the starting lineup and available as a substitute. Note: The values may be Opta IDs.;34, 40, 71;Other Event Qualifier;Implicat
41;Injury;A substitution or match delay occurs due to an injury;18, 19, 27;Substitution Reason;Accidentare
44;Player position;The position of the player(s) in the team formation - these are the playing positions associated with each player for the given match;18, 19, 34, 40;Tactical Positions;Pozi?ia juc?torului
45;Temperature;"Note - October 2019: This qualifier is no longer used
                    The temperature conditions for the given match";24;Game Conditions;Temperatura
46;Conditions;"The weather conditions
                    Note: No longer used";24;Game Conditions;Condi?ii de joc
47;Field Pitch;"The condition of the playing surface
                    Note: No longer used";24;Game Conditions;Teren Teren
48;Lightings;"The lighting conditions
                    Note: No longer used";24;Game Conditions;Iluminat
49;Attendance figure;The attendance at the match (number of people in the crowd);24;Attendance;Cifr? spectatori
50;Official position;The position of a replacement official;25;Game Conditions;Pozi?ia Oficialului
51;Official ID;The unique ID (UUID) of the official being replaced;25;Player/Official ID;ID Oficial
53;Injured player ID;The unique ID (UUID) of the injured player, causing a delay in the game;27;Player/Official ID;ID Juc?tor accidentat
54;End cause;The related reason that has caused the match to end early;76;Other Event Qualifier;Cauza sfâr?itului
55;Related event ID;The event ID of the related event (example: 678 - this will have been previously returned in the feed as the value of eventId. Where the event type is a goal or shot, the related Event ID will be that of the assist and thus show the assisting player ID.;13, 14, 15, 16, 18, 19, 28, 60;Related Event;ID eveniment conex
56;Zone;Defined zone of the pitch where an action takes place (for a 'Pass' this is where it ends). See: Appendix 3 - Pitch zones;1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 44, 45, 50, 56, 57, 58, 59, 60, 61, 67, 69, 74;Pitch Zone;Zona
57;End type;The end type. For example, value 1 = indicates when it is the end of collection (for example, the end event has a Period ID of 14 'Post Game'), whereas value 0 can appear with an event that has a Period ID where data collection can start/resume but does not normally end completely for the match - for example, periodId of 1 ('First Half') or 2 ('Second Half').;30;End;Tip final
59;Jersey Number;A single value or an array of values giving the jersey/shirt numbers of the players involved. This will be shown for substitutions (Player Off/Player On), lineups (Team set up), and lineup changes. The order that the values are listed here will be the same order as the positions listed on qualifierId 131. For more information, see Appendix 4 - Playing positions;18, 19, 34, 40;Game Conditions;Num?r tricou
98;Pitch X Coordinate;Note - October 2019: No longer used;1;N/A;Coordonata X a terenului
99;Pitch Y Coordinate;Note - October 2019: No longer used;1;N/A;Coordonate Y a terenului
102;Goalmouth Y Coordinate;The Y-coordinate (0-100) of where the shot/ball crossed/was projected to cross the goal line. See: Appendix 2 - Goalmouth coordinates;13, 14, 15, 16;Shot End Location Y;Coordonate Y Poart?
103;Goalmouth Z Coordinate;The Z-coordinate (0-100) for the height at which a shot/the ball crossed/was projected to cross the goal line. See: Appendix 2 - Goalmouth coordinates;13, 14, 15, 16;Shot End Location X;Coordonate Z Poart?
104;Attempt Position X Coordinate;Note - October 2019: No longer used;13, 14, 15, 16, 38, 39;N/A;Coordonata X a ?utului
105;Attempt Position Y Coordinate;Note - October 2019: No longer used;13, 14, 15, 16, 38, 39;N/A;Coordonata Y a ?utului
125;Free Kick Position X Coordinate;Note - October 2019: No longer used;;N/A;Coordonate X Lovitur? liber?
126;Free Kick Position Y Coordinate;Note - October 2019: No longer used;;N/A;Coordonate Y Lovitur? liber?
127;Direction of Play;This signifies the actual direction of play in relation to TV cameras. X/Y coordinates are always normalised to Left to Right - possible values: Left to Right or Right to Left;32;Game Conditions;Direc?ia de joc
130;Team Formation;The formation the team played. The value is the formation ID - check this ID against the corresponding team formation diagram in Appendix 5 - Formations Explained;34, 40;Formation;Forma?ia echipei
131;Team Player Formation;The position of the players in the formation. Values are in the range 0-11 and should be cross-referenced in conjuction with the Team Formation ID - check this against the corresponding diagram in Appendix 5 - Formations Explained;34, 40;Game Conditions;Forma?ia juc?torilor echipei
140;Pass End X;The X pitch coordinate for the end point of a pass/offside pass/clearance - a value in the range 0.0-100.0;1, 2, 12;Pass End Location X;Final pas? X
141;Pass End Y;The Y pitch coordinate for the end point of a pass/offside pass/clearance - a value in the range 0.0-100.0;1, 2, 12;Pass End Location Y;Final pas? Y
144;Deleted Event Type;This qualifier is used to inform you which match event/action has been deleted. The Qualifier value gives the Event Type ID of the deleted event - for example, a value of '1' would mean that the type of event that was deleted was a 'Pass';43;Other Event Qualifier;Tip eveniment ?ters
145;Formation slot;The position in the formation assumed by the substitute player coming on. Values are in the range 1-11 and should be cross-referenced in conjuction with the Team Formation ID - check this against the corresponding diagram in Appendix 5 - Formations Explained;19;Formation;Pozi?ie forma?ie
146;Blocked X Coordinate;The X-coordinate where a shot is blocked or an off target attempt is touched by an opposition player;13, 15;Save/Block Position X;Coordonat? X Blocaj
147;Blocked Y Coordinate;The Y-coordinate where a shot is blocked or an off target attempt is touched by an opposition player;13, 15;Save/Block Position Y;Coordonat? Y Blocaj
194;Captain;The player who is the team captain - the value is the unique ID of the player;34, 40;Player/Official ID;C?pitan
197;Team kit;The ID of the kit used by the team;34;Game Conditions;Echipament
210;Assist;The pass assisted a shot (including goals) or a chance missed.;1;Pass Details;Pas? de gol
212;Length;The estimated length (in metres) that the ball has travelled during the associated pass/clearance;1, 12;Length;Lungime
213;Angle;The angle the ball travels at during the associated pass/clearance relative to the direction of play. Value: 0.00 to 6.28 in Radians (can contain values upto 2 decimal points).;1, 12;Angle;Unghi
216;2nd related event ID;"Note: Used for Major League Soccer (MLS) and German Bundesliga 1 and 2.
                    Indicates that there was a 2nd assist for a goal, such as a pass to create the opportunity for the player making the assist, to show the second assisting player ID. The value gives the Event ID of the 2nd related event (example: 259) - this will have been previously returned in the feed as the value of eventId.";16;Goal Details;ID al 2-lea eveniment legat
227;Resume;The team setup (lineup) for a match that has resumed at a later date after it was initially abandoned/suspended mid-way through the game/during gameplay.;34;Other Event Qualifier;Rezumat
230;GK X Coordinate;"The X-coordinate for the position of the goalkeeper (GK) for the shot
                    Note: This can be shown for 'Live' data (for example, for eventTypeIds '14' and '16'). However, from June 2020 it can also be added 'Post-match' to 'Blocked Shot', 'Miss' (not past the goal line) and all shot events, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";14, 16;Save/Block Position X;Coordonate GK X
231;GK Y Coordinate;"The Y-coordinate for the position of the goalkeeper (GK) for the shot
                    Note: This can be shown for 'Live' data (for example, for eventTypeIds '14' and '16'). However, from June 2020 it can also be added 'Post-match' to 'Blocked Shot', 'Miss' (not past the goal line) and all shot events, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";14, 16;Save/Block Position Y;Coordonat? GK Y
233;Opposite related event ID;"Used for any event where the same event applies to both teams with outcome 1 or 0. This links the two events together - for example, Aerial Duels. The feed will return two instances of the same event, each with a unique event ID, and this qualifier will be attached to each event.
                    Value: The Event ID of the corresponding opposite related event by the opposition (example: 706 - it will have been returned in the feed as the eventId value.";1, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 27, 28, 41, 44, 45, 50, 54, 58, 67, 69, 74;Related Event;ID eveniment asociat opus
256;Air Humidity;"The air humidity in the stadium
                    Note: No longer used";24;Game Conditions;Umiditatea aerului
257;Air Pressure;"The air pressure in the stadium
                    Note: No longer used";24;Game Conditions;Presiunea aerului
258;Sold Out;"Indicates whether the match is sold out
                    Note: No longer used";24;Game Conditions;Sold Out
259;Celsius degrees;"The temperature in degrees celcius
                    Note: No longer used";24;Game Conditions;Grade Celsius
260;Floodlight;"Indicates whether the match was played under floodlights
                    Note: No longer used";24;Game Conditions;Nocturn?
277;Minutes;The number of minutes of injury time given by the referee;70, 75;Injury Time;Minute
279;Kick Off;"Indicates the event was a starting pass/kick off - this is to enable exclusion from passing %
                    S = kick-off to start a period (first half, second half, first half extra-time, second half extra-time)
                    G = kick-off after a goal";1, 13;Pass Details;Lovitur? de începere
280;Fantasy Assist Type;The type of Fantasy Assist for the goal;16;Fantasy Assist;Tipul de asisten?? Fantasy
281;Fantasy Assisted By;The player credited with making the Fantasy Assist - the value is the unique ID (UUID) of the player;16;Fantasy Assist;Fantasy asistat de
282;Fantasy Assist Team;The team (contestant) credited with making the Fantasy Assist - the value is the unique ID (UUID) of the team;16;Fantasy Assist;Echipa Fantasy Assist
283;Coach ID;The ID of the team coach;17;Player/Official ID;ID antrenor
290;Coach types;Gives the IDs of all the coach types and roles involved in the coach setup.;71;Game Conditions;Tipuri de antrenor
292;Detailed Position ID;Indicates the detailed position that the substitute player comes on in;19;Game Conditions;ID detaliat al pozi?iei
293;Position Side ID;Indicates the side of the pitch that the substitute player comes on in when they assume their position;19;Game Conditions;ID pozi?ie lateral?
307;Phase of possession ID;"Note - October 2019: No longer used (collected only for DFL between 2013/14 and 2016/17)
                    The ID for the phase of possession for the DFL";1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 41, 42, 50, 54, 57, 61, 74;N/A;Faza de posesie ID
312;Phase of possession start;"Note - October 2019: No longer used (collected only for DFL between 2013/14 and 2016/17)
                    Indicates that possession has started for DFL";3, 7, 8, 10, 11, 54, 74;N/A;Faza de început a posesiei
315;Related Event Player ID;"Note: This qualifier is no longer used.
                    The ID of the player who performed the related event";13, 14, 15, 16;Player/Official ID;Eveniment asociat ID juc?tor
348;Penalty taker ID;Value is the ID of the player that took the penalty. After a penalty is awarded, we collect the ID of the penalty taker before the kick is taken. This qualifier is only included in the Foul event of the attacking team (outcome = 1);4 (qualifierId 9);Player/Official ID;ID marcator de penalty
